program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
8,1,3.32,164.0,149.0,,,,,0,1.0,,,,
14,1,3.43,168.0,164.0,,,,,0,0.0,,,,
8,1,3.84,168.0,154.0,,,,,0,1.0,,,,
8,0,4.0,166.0,,,,,,0,1.0,,,,
8,0,3.67,163.0,159.0,,,,,0,0.0,,,,
8,1,3.68,170.0,159.0,,,,,0,1.0,,,,
31,0,3.7,170.0,164.0,,,,,0,1.0,,,,
8,0,3.83,170.0,161.0,,,,,0,1.0,,,,
8,1,3.6,162.0,168.0,,,,,0,1.0,,,,
8,0,3.0,159.0,162.0,,,,,0,1.0,,,,
6,1,1.0,159.0,166.0,,,,,0,1.0,,,,
8,1,3.47,167.0,166.0,,,,,0,1.0,,,,
18,0,3.8,164.0,169.0,,,,,0,0.0,,,,
1,0,4.0,163.0,167.0,,,,,0,1.0,,,,
6,1,4.0,164.0,170.0,,,,,0,1.0,,,,
23,1,3.67,169.0,155.0,,,,,0,1.0,,,,
6,1,3.7,155.0,165.0,,,,,0,0.0,,,,
18,0,3.9,170.0,167.0,,,,,0,0.0,,,,
8,0,3.93,169.0,169.0,,,,,0,0.0,,,,
8,1,3.9,165.0,162.0,,,,,0,1.0,,,,
1,1,3.8,164.0,167.0,,,,,0,1.0,,,,
1,0,3.9,152.0,164.0,,,,,0,1.0,,,,
23,0,3.5,139.0,169.0,,,,,0,1.0,,,,
5,1,3.6,166.0,170.0,,,,,0,0.0,,,,
1,1,3.99,170.0,169.0,,,,,0,1.0,,,,
8,1,3.4,164.0,,,,,,0,1.0,,,,
1,0,3.4,154.0,168.0,,,,,0,1.0,,,,
1,1,3.7,163.0,162.0,,,,,0,0.0,,,,
23,0,3.56,149.0,170.0,,,,,0,1.0,,,,
8,0,3.15,166.0,153.0,,,,,0,1.0,,,,
8,1,3.95,168.0,,,,,,0,1.0,,,,
10,1,3.6,147.0,160.0,,,,,0,1.0,,,,
8,1,3.85,162.0,151.0,,,,,0,1.0,,,,
20,1,3.55,167.0,168.0,,,,,0,0.0,,,,
8,0,3.6,167.0,152.0,,,,,0,1.0,,,,
8,1,4.0,168.0,152.0,,,,,0,1.0,,,,
16,1,3.97,170.0,165.0,,,,,0,1.0,,,,
5,1,3.71,170.0,170.0,,,,,0,0.0,,,,
25,0,3.9,170.0,162.0,,,,,0,1.0,,,,
28,1,3.8,167.0,165.0,,,,,0,0.0,,,,
5,1,3.9,169.0,160.0,,,,,0,1.0,,,,
28,1,3.15,168.0,152.0,,,,,0,1.0,,,,
25,0,3.9,155.0,169.0,,,,,0,1.0,,,,
16,1,3.88,166.0,160.0,,,,,0,1.0,,,,
25,1,4.0,170.0,164.0,,,,,0,1.0,,,,
25,0,3.88,169.0,162.0,,,,,0,0.0,,,,
14,1,3.26,162.0,159.0,,,,,0,0.0,,,,
8,0,3.4,164.0,149.0,,,,,0,1.0,,,,
8,0,3.25,165.0,155.0,,,,,0,1.0,,,,
8,1,3.92,170.0,158.0,,,,,0,1.0,,,,
8,1,3.6,170.0,158.0,,,,,0,1.0,,,,
8,0,3.8,165.0,,,,,,0,1.0,,,,
8,1,3.2,157.0,153.0,,,,,0,1.0,,,,
8,1,3.9,165.0,161.0,,,,,0,1.0,,,,
8,1,3.7,167.0,155.0,,,,,0,1.0,,,,
25,0,4.0,170.0,166.0,,,,,0,0.0,,,,
18,0,3.95,162.0,168.0,,,,,0,1.0,,,,
6,0,3.5,160.0,170.0,,,,,0,0.0,,,,
20,1,3.76,149.0,168.0,,,,,0,1.0,,,,
23,0,3.76,147.0,164.0,,,,,0,1.0,,,,
4,1,3.8,153.0,164.0,,,,,0,1.0,,,,
23,1,3.7,165.0,163.0,,,,,0,0.0,,,,
6,1,4.0,168.0,150.0,,,,,0,1.0,,,,
6,0,3.68,159.0,170.0,,,,,0,1.0,,,,
1,1,4.0,157.0,165.0,,,,,0,1.0,,,,
6,1,3.27,161.0,164.0,,,,,0,0.0,,,,
5,1,3.68,159.0,170.0,,,,,0,1.0,,,,
18,1,4.0,170.0,170.0,,,,,0,0.0,,,,
18,1,3.94,169.0,169.0,,,,,0,0.0,,,,
18,0,3.68,159.0,170.0,,,,,0,1.0,,,,
18,0,3.92,150.0,170.0,,,,,0,1.0,,,,
6,0,3.2,140.0,167.0,,,,,0,1.0,,,,
18,0,3.75,170.0,168.0,,,,,0,0.0,,,,
18,0,3.93,164.0,170.0,,,,,0,1.0,,,,
23,0,3.2,140.0,167.0,,,,,0,1.0,,,,
20,1,3.2,140.0,167.0,,,,,0,1.0,,,,
18,0,3.6,160.0,169.0,,,,,0,1.0,,,,
1,1,3.93,164.0,170.0,,,,,0,1.0,,,,
1,0,3.1,153.0,166.0,,,,,0,1.0,,,,
