program_id,school,program,result,season,out_date,submit_date,method,tid,fin
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-14,邮件,0,
129,CMU,MSCF,Waiting,2021 Fall,2021-03-09,2021-11-25,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-09,2020-12-09,邮件,0,
129,CMU,MSCF,Reject,2021 Fall,2021-03-08,2020-12-10,邮件,0,
129,CMU,MSCF,AD无奖,2021 Fall,2021-03-08,2021-01-14,网申,0,
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-11-01,邮件,0,
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-12,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2018-03-15,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-05-05,2020-01-01,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-01,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-11-14,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-15,邮件,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-12-09,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-15,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-10,2019-12-09,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-10,2019-12-01,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-09,网申,0,自费AD
129,CMU,MSCF,Reject,2020 Fall,2020-03-11,2019-12-15,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-10,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,,邮件,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-10,2019-12-20,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,2019-12-09,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,2019-12-10,网申,0,自费AD
129,CMU,MSCF,AD无奖,2020 Fall,2020-03-11,,网申,0,自费AD
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-10,网申,0,全奖Offer
129,CMU,MSCF,Waiting,2020 Fall,2020-03-11,2019-12-10,网申,0,全奖Offer
129,CMU,MSCF,Reject,2020 Fall,2020-03-11,2019-12-10,邮件,0,自费AD
