id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
77,unknown,,其他国际,,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
78,unknown,,美籍,3.99,4,,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
79,unknown,,其他国际,4.0,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
80,unknown,,美籍,3.97,4,,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
81,unknown,,其他国际,4.0,4,332,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
82,unknown,,其他国际,3.95,4,,,,,不明,不明,,princeton-mfin,rejected,24Fall,gradcafe
83,unknown,,美籍,3.74,4,,,,,不明,不明,,princeton-mfin,accepted,24Fall,gradcafe
84,unknown,,美籍,,4,,,,,不明,不明,,princeton-mfin,interview,23Fall,gradcafe
85,unknown,,其他国际,3.99,4,170,,,,不明,不明,,princeton-mfin,waitlisted,22Fall,gradcafe
86,unknown,,其他国际,3.9,4,,,,,不明,不明,,princeton-mfin,interview,25Fall,gradcafe
87,unknown,,其他国际,,4,167,,,,不明,不明,,princeton-mfin,rejected,21Fall,gradcafe
88,unknown,,其他国际,3.92,4,170,,,,不明,不明,,princeton-mfin,rejected,20Fall,gradcafe
89,unknown,,其他国际,,4,,,,,不明,不明,,princeton-mfin,accepted,13Fall,gradcafe
90,unknown,,其他国际,3.85,4,150,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
91,unknown,,其他国际,3.83,4,700,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
92,unknown,,其他国际,3.3,4,167,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
93,unknown,,其他国际,,4,,,,,不明,不明,,berkeley-mfe,accepted,,gradcafe
94,unknown,,美籍,4.0,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
95,unknown,,美籍,3.86,4,,,,,不明,不明,,berkeley-mfe,waitlisted,26Fall,gradcafe
96,unknown,,其他国际,3.8,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
97,unknown,,美籍,3.6,4,326,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
98,unknown,,其他国际,,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
99,unknown,,美籍,3.95,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
100,unknown,,美籍,3.81,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
101,unknown,,其他国际,3.97,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
102,unknown,,其他国际,3.1,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
103,unknown,,其他国际,3.95,4,,,,,不明,不明,,berkeley-mfe,waitlisted,26Fall,gradcafe
104,unknown,,其他国际,3.94,4,316,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
105,unknown,,其他国际,3.4,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
106,unknown,,美籍,3.68,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
107,unknown,,其他国际,3.97,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
108,unknown,,美籍,3.35,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
109,unknown,,美籍,3.57,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
110,unknown,,其他国际,3.44,4,161,,,,不明,不明,,columbia-msfe,accepted,21Fall,gradcafe
111,unknown,,其他国际,3.3,4,145,,,,不明,不明,,columbia-msfe,accepted,14Fall,gradcafe
112,unknown,,其他国际,3.6,4,800,,,,不明,不明,,columbia-msfe,accepted,13Fall,gradcafe
113,unknown,,其他国际,,4,,,,,不明,不明,,columbia-msfe,rejected,13Fall,gradcafe
114,unknown,,其他国际,3.9,4,660,,,,不明,不明,,columbia-msfe,accepted,10Fall,gradcafe
115,unknown,,其他国际,3.2,4,,,,,不明,不明,,columbia-mafn,rejected,21Fall,gradcafe
116,unknown,,美籍,3.52,4,800,,,,不明,不明,,columbia-mafn,waitlisted,12Fall,gradcafe
117,unknown,,其他国际,,4,,,,,不明,不明,,columbia-mafn,waitlisted,10Fall,gradcafe
118,unknown,,其他国际,,4,,,,,不明,不明,,columbia-mafn,accepted,10Fall,gradcafe
119,unknown,,其他国际,,4,,,,,不明,不明,,columbia-mafn,rejected,,gradcafe
120,unknown,,其他国际,,4,170,,,,不明,不明,,columbia-mafn,accepted,19Fall,gradcafe
121,unknown,,其他国际,3.97,4,,,,,不明,不明,,columbia-mafn,accepted,26Fall,gradcafe
122,unknown,,其他国际,4.0,4,,,,,不明,不明,,columbia-mafn,rejected,26Fall,gradcafe
123,unknown,,其他国际,3.8,4,,,,,不明,不明,,columbia-mafn,rejected,26Fall,gradcafe
124,unknown,,其他国际,3.79,4,,,,,不明,不明,,columbia-mafn,rejected,26Fall,gradcafe
125,unknown,,其他国际,3.9,4,,,,,不明,不明,,columbia-mafn,accepted,26Fall,gradcafe
126,unknown,,其他国际,3.9,4,,,,,不明,不明,,columbia-mafn,waitlisted,26Fall,gradcafe
127,unknown,,美籍,3.59,4,,,,,不明,不明,,columbia-mafn,accepted,26Fall,gradcafe
128,unknown,,其他国际,,4,,,,,不明,不明,,mit-mfin,rejected,26Fall,gradcafe
129,unknown,,美籍,3.97,4,170,,,,不明,不明,,mit-mfin,accepted,24Fall,gradcafe
130,unknown,,,3.4,4,,,,,不明,不明,,mit-mfin,rejected,23Fall,gradcafe
131,unknown,,其他国际,3.44,4,161,,,,不明,不明,,mit-mfin,rejected,21Fall,gradcafe
132,unknown,,其他国际,,4,,,,,不明,不明,,mit-mfin,interview,21Fall,gradcafe
133,unknown,,其他国际,3.85,4,167,,,,不明,不明,,mit-mfin,accepted,13Fall,gradcafe
